Time(s),Temperature(°C),(mg)
990,98.400000,-0.00200458
991,98.500000,-0.00212177
992,98.700000,-0.00224297
993,98.900000,-0.0023772
994,99.000000,-0.00256922
995,99.200000,-0.00283255
996,99.400000,-0.0031376
997,99.600000,-0.00345177
998,99.800000,-0.00369799
999,99.900000,-0.00389267
1000,100.100000,-0.00407916
1001,100.300000,-0.00429784
1002,100.400000,-0.0044318
1003,100.600000,-0.0045333
1004,100.800000,-0.00455773
1005,101.000000,-0.00455397
1006,101.100000,-0.00450348
1007,101.300000,-0.00445224
1008,101.500000,-0.00435857
1009,101.700000,-0.00424554
1010,101.900000,-0.0041145
1011,102.000000,-0.00398837
1012,102.200000,-0.00387835
1013,102.400000,-0.00377529
1014,102.500000,-0.00369319
1015,102.700000,-0.00366073
1016,102.900000,-0.00366402
1017,103.100000,-0.00367811
1018,103.300000,-0.00363389
1019,103.400000,-0.00354872
1020,103.600000,-0.00344433
1021,103.800000,-0.00338502
1022,104.000000,-0.00332586
